04-24-2026 23:38:04 RAM 1425/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,50%@1344,54%@1344,54%@1344,50%@1344,54%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.406C soc2@46.093C soc0@46.218C gpu@45.468C tj@47.781C soc1@47.781C VDD_IN 5103mW/5103mW VDD_CPU_GPU_CV 756mW/756mW VDD_SOC 1395mW/1395mW
04-24-2026 23:38:04 RAM 1431/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,9%@1344,9%@1344,9%@1344,9%@729,9%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.125C soc2@46.031C soc0@46.187C gpu@45.906C tj@47.937C soc1@47.937C VDD_IN 5223mW/5163mW VDD_CPU_GPU_CV 835mW/796mW VDD_SOC 1395mW/1395mW
04-24-2026 23:38:05 RAM 1438/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.406C soc2@46.125C soc0@46.25C gpu@45.468C tj@47.843C soc1@47.843C VDD_IN 5302mW/5209mW VDD_CPU_GPU_CV 875mW/822mW VDD_SOC 1435mW/1408mW
04-24-2026 23:38:05 RAM 1449/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,8%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.25C soc2@46.093C soc0@46.156C gpu@45.593C tj@47.968C soc1@47.968C VDD_IN 5342mW/5243mW VDD_CPU_GPU_CV 875mW/835mW VDD_SOC 1435mW/1415mW
04-24-2026 23:38:05 RAM 1522/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.25C soc2@46.093C soc0@46.437C gpu@45.875C tj@47.875C soc1@47.875C VDD_IN 5422mW/5278mW VDD_CPU_GPU_CV 875mW/843mW VDD_SOC 1435mW/1419mW
04-24-2026 23:38:05 RAM 1532/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,60%@1344,58%@1344,54%@1344,90%@729,63%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.687C soc2@46.187C soc0@46.156C gpu@45.468C tj@47.812C soc1@47.812C VDD_IN 5701mW/5349mW VDD_CPU_GPU_CV 1154mW/895mW VDD_SOC 1435mW/1422mW
04-24-2026 23:38:05 RAM 1541/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.25C soc2@46.093C soc0@46.156C gpu@45.5C tj@48.031C soc1@48.031C VDD_IN 5661mW/5393mW VDD_CPU_GPU_CV 1114mW/926mW VDD_SOC 1435mW/1424mW
04-24-2026 23:38:05 RAM 1550/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.25C soc2@46.218C soc0@46.375C gpu@45.781C tj@47.875C soc1@47.875C VDD_IN 5621mW/5422mW VDD_CPU_GPU_CV 1114mW/950mW VDD_SOC 1435mW/1425mW
04-24-2026 23:38:05 RAM 1556/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.5C soc2@46.125C soc0@46.187C gpu@45.468C tj@47.781C soc1@47.812C VDD_IN 5582mW/5440mW VDD_CPU_GPU_CV 1074mW/964mW VDD_SOC 1435mW/1426mW
04-24-2026 23:38:05 RAM 1564/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,8%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.25C soc2@46.125C soc0@46.125C gpu@45.781C tj@47.968C soc1@47.968C VDD_IN 5582mW/5454mW VDD_CPU_GPU_CV 1074mW/975mW VDD_SOC 1435mW/1427mW
04-24-2026 23:38:05 RAM 1590/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.531C soc2@46.25C soc0@46.25C gpu@45.468C tj@47.781C soc1@47.781C VDD_IN 5582mW/5466mW VDD_CPU_GPU_CV 1035mW/980mW VDD_SOC 1435mW/1428mW
04-24-2026 23:38:06 RAM 1597/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.375C soc2@46.093C soc0@46.156C gpu@45.593C tj@47.875C soc1@47.875C VDD_IN 5582mW/5475mW VDD_CPU_GPU_CV 1035mW/985mW VDD_SOC 1435mW/1428mW
04-24-2026 23:38:06 RAM 1600/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [58%@729,0%@729,0%@729,0%@729,41%@1344,0%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.093C soc2@46.093C soc0@46.25C gpu@45.5C tj@47.968C soc1@47.968C VDD_IN 5621mW/5486mW VDD_CPU_GPU_CV 1035mW/989mW VDD_SOC 1435mW/1429mW
04-24-2026 23:38:06 RAM 1603/7620MB (lfb 87x4MB) SWAP 824/3810MB (cached 1MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.281C soc2@46.062C soc0@46.343C gpu@45.531C tj@47.875C soc1@47.875C VDD_IN 5582mW/5493mW VDD_CPU_GPU_CV 1035mW/992mW VDD_SOC 1435mW/1429mW
