epoch,map50,map50_ema,map5095,map5095_ema,train_total_loss,val_total_loss,stage,feat_weight,bbox_weight
10,35.48,35.58,23.39,23.44,55.23,3.16,Warmup,0.00,1.00
20,40.38,40.39,26.75,26.79,52.00,2.99,Ramp-up,2.50,1.50
30,44.44,44.46,29.58,29.63,50.72,2.88,Ramp-up,5.00,2.00
40,46.89,46.84,31.12,31.17,49.34,2.81,Converge,5.00,2.00
50,47.83,47.85,31.96,32.04,47.97,2.78,Converge,5.00,2.00
60,49.49,49.52,33.38,33.39,46.86,2.71,Converge,5.00,2.00
70,50.99,51.09,34.38,34.45,46.00,2.66,Converge,5.00,2.00
80,51.99,52.08,35.09,35.09,45.44,2.64,Converge,5.00,2.00
90,52.20,52.13,35.37,35.38,45.18,2.62,Converge,5.00,2.00
100,52.34,52.34,35.53,35.53,44.94,2.61,Converge,5.00,2.00
110,52.64,52.64,35.59,35.59,44.74,2.62,Converge,5.00,2.00
120,52.54,52.55,35.56,35.58,44.91,2.62,Converge,5.00,2.00
